cell_id,longitude,latitude,stress_score,urbanization_component,vegetation_component,water_component,evidence_strength,stress_quartile,rank,mandal,nearest_place,nearest_place_distance_km
C_041_070,78.832601,13.409287,0.5287,0.5683,0.8522,0.1657,High (Multi-Source Convergence),Q4: Higher Relative Stress,86,Somala,N/A (Requires Authoritative Settlement Gazetteer),
C_045_040,78.563106,13.373354,0.5284,0.5784,0.9074,0.0996,High (Multi-Source Convergence),Q4: Higher Relative Stress,87,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_043_054,78.688871,13.391321,0.5279,0.5325,1.0,0.0511,High (Multi-Source Convergence),Q4: Higher Relative Stress,88,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
C_042_163,79.674143,13.400304,0.5271,0.1922,0.3892,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,89,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_065_132,79.389556,13.193691,0.5261,0.4553,0.3863,0.7368,High (Multi-Source Convergence),Q4: Higher Relative Stress,90,Palasamudram,N/A (Requires Authoritative Settlement Gazetteer),
C_045_043,78.590056,13.373354,0.5258,0.4515,1.0,0.1258,High (Multi-Source Convergence),Q4: Higher Relative Stress,91,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_050_035,78.518191,13.328439,0.5257,0.5034,1.0,0.0737,High (Multi-Source Convergence),Q4: Higher Relative Stress,92,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_040_166,79.701092,13.41827,0.5255,0.2704,0.3283,0.9778,High (Multi-Source Convergence),Q4: Higher Relative Stress,93,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_062_061,78.751753,13.220641,0.5254,0.6586,0.5686,0.3491,High (Multi-Source Convergence),Q4: Higher Relative Stress,94,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
C_071_127,79.344641,13.139792,0.5223,0.5239,1.0,0.0431,High (Multi-Source Convergence),Q4: Higher Relative Stress,95,Palasamudram,N/A (Requires Authoritative Settlement Gazetteer),
C_043_041,78.57209,13.391321,0.5218,0.472,0.9848,0.1087,High (Multi-Source Convergence),Q4: Higher Relative Stress,96,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_044_044,78.599039,13.382338,0.5209,0.5461,0.8953,0.1215,High (Multi-Source Convergence),Q4: Higher Relative Stress,97,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_050_164,79.683126,13.328439,0.52,0.3603,0.4552,0.7444,High (Multi-Source Convergence),Q4: Higher Relative Stress,98,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_048_038,78.54514,13.346405,0.5197,0.4618,0.9842,0.113,High (Multi-Source Convergence),Q4: Higher Relative Stress,99,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_053_152,79.575328,13.301489,0.5196,0.4036,0.8992,0.2561,High (Multi-Source Convergence),Q4: Higher Relative Stress,100,Nagari,N/A (Requires Authoritative Settlement Gazetteer),
C_045_048,78.634972,13.373354,0.5186,0.4711,1.0,0.0848,High (Multi-Source Convergence),Q4: Higher Relative Stress,101,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_054_054,78.688871,13.292506,0.5181,0.5304,0.8582,0.1657,High (Multi-Source Convergence),Q4: Higher Relative Stress,102,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
C_063_055,78.697854,13.211658,0.5165,0.4879,0.9346,0.1271,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,103,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
C_116_007,78.266662,12.735551,0.5163,0.5,1.0,0.0488,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,104,Gudupalle,N/A (Requires Authoritative Settlement Gazetteer),
C_061_167,79.710075,13.229624,0.5159,0.2422,0.3054,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,105,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
C_068_094,79.048197,13.166742,0.5158,0.5943,0.7277,0.2253,High (Multi-Source Convergence),Q4: Higher Relative Stress,106,Yadamarri,N/A (Requires Authoritative Settlement Gazetteer),
C_024_068,78.814635,13.562001,0.5153,0.5744,0.7203,0.2512,High (Multi-Source Convergence),Q4: Higher Relative Stress,107,Somala,N/A (Requires Authoritative Settlement Gazetteer),
